Timestamp;Type;Symbole;Action;Prix;Volume;Stop_Loss;Take_Profit;Message;Balance;Equity
2026-01-12 09:45:04;ERROR;;;;;;;Erreur dans analyze_pairs_opportunity: name 'RATIO_WINDOW' is not defined;;
2026-01-12 09:45:05;ERROR;;;;;;;Erreur dans analyze_pairs_opportunity: name 'RATIO_WINDOW' is not defined;;
2026-01-12 09:45:05;ERROR;;;;;;;Erreur dans analyze_pairs_opportunity: name 'RATIO_WINDOW' is not defined;;
2026-01-12 09:45:05;ERROR;;;;;;;Erreur dans analyze_pairs_opportunity: Numba needs NumPy 2.2 or less. Got NumPy 2.3.;;
2026-01-12 09:45:19;ERROR;;;;;;;Erreur dans analyze_pairs_opportunity: name 'RATIO_WINDOW' is not defined;;
2026-01-12 09:45:20;ERROR;;;;;;;Erreur dans analyze_pairs_opportunity: name 'RATIO_WINDOW' is not defined;;
2026-01-12 09:45:20;ERROR;;;;;;;Erreur dans analyze_pairs_opportunity: name 'RATIO_WINDOW' is not defined;;
2026-01-12 09:45:20;ERROR;;;;;;;Erreur dans analyze_pairs_opportunity: Numba needs NumPy 2.2 or less. Got NumPy 2.3.;;
2026-01-12 09:45:23;INFO;;;;;;;Arrêt du bot demandé par l'utilisateur;;
2026-01-12 09:45:28;INFO;;;;;;;Déconnecté de MT5;;
2026-01-12 09:45:28;INFO;;;;;;;Bot arrêté;;
2026-01-12 09:45:31;INFO;;;;;;;Connecté au compte MT5: 101181033;;
2026-01-12 09:45:31;INFO;;;;;;;Compte: 101181033, Balance: 10000.0, Equity: 10000.0;10000.0;10000.0
2026-01-12 09:45:31;INFO;;;;;;;Session démarrée: 20260112_094531;;
2026-01-12 09:45:34;ERROR;;;;;;;Erreur dans analyze_pairs_opportunity: name 'RATIO_WINDOW' is not defined;;
2026-01-12 09:45:35;ERROR;;;;;;;Erreur dans analyze_pairs_opportunity: name 'RATIO_WINDOW' is not defined;;
2026-01-12 09:45:35;ERROR;;;;;;;Erreur dans analyze_pairs_opportunity: name 'RATIO_WINDOW' is not defined;;
2026-01-12 09:45:35;ERROR;;;;;;;Erreur dans analyze_pairs_opportunity: Numba needs NumPy 2.2 or less. Got NumPy 2.3.;;
2026-01-12 09:45:49;ERROR;;;;;;;Erreur dans analyze_pairs_opportunity: name 'RATIO_WINDOW' is not defined;;
2026-01-12 09:45:50;ERROR;;;;;;;Erreur dans analyze_pairs_opportunity: name 'RATIO_WINDOW' is not defined;;
2026-01-12 09:45:50;ERROR;;;;;;;Erreur dans analyze_pairs_opportunity: name 'RATIO_WINDOW' is not defined;;
2026-01-12 09:45:50;ERROR;;;;;;;Erreur dans analyze_pairs_opportunity: Numba needs NumPy 2.2 or less. Got NumPy 2.3.;;
2026-01-12 09:46:04;ERROR;;;;;;;Erreur dans analyze_pairs_opportunity: name 'RATIO_WINDOW' is not defined;;
2026-01-12 09:46:05;ERROR;;;;;;;Erreur dans analyze_pairs_opportunity: name 'RATIO_WINDOW' is not defined;;
2026-01-12 09:46:05;ERROR;;;;;;;Erreur dans analyze_pairs_opportunity: name 'RATIO_WINDOW' is not defined;;
2026-01-12 09:46:05;ERROR;;;;;;;Erreur dans analyze_pairs_opportunity: Numba needs NumPy 2.2 or less. Got NumPy 2.3.;;
2026-01-12 09:46:19;ERROR;;;;;;;Erreur dans analyze_pairs_opportunity: name 'RATIO_WINDOW' is not defined;;
2026-01-12 09:46:20;ERROR;;;;;;;Erreur dans analyze_pairs_opportunity: name 'RATIO_WINDOW' is not defined;;
2026-01-12 09:46:20;ERROR;;;;;;;Erreur dans analyze_pairs_opportunity: name 'RATIO_WINDOW' is not defined;;
2026-01-12 09:46:20;ERROR;;;;;;;Erreur dans analyze_pairs_opportunity: Numba needs NumPy 2.2 or less. Got NumPy 2.3.;;
2026-01-12 09:46:34;ERROR;;;;;;;Erreur dans analyze_pairs_opportunity: name 'RATIO_WINDOW' is not defined;;
2026-01-12 09:46:35;ERROR;;;;;;;Erreur dans analyze_pairs_opportunity: name 'RATIO_WINDOW' is not defined;;
2026-01-12 09:46:35;ERROR;;;;;;;Erreur dans analyze_pairs_opportunity: name 'RATIO_WINDOW' is not defined;;
2026-01-12 09:46:35;ERROR;;;;;;;Erreur dans analyze_pairs_opportunity: Numba needs NumPy 2.2 or less. Got NumPy 2.3.;;
2026-01-12 09:46:49;ERROR;;;;;;;Erreur dans analyze_pairs_opportunity: name 'RATIO_WINDOW' is not defined;;
2026-01-12 09:46:50;ERROR;;;;;;;Erreur dans analyze_pairs_opportunity: name 'RATIO_WINDOW' is not defined;;
2026-01-12 09:46:50;ERROR;;;;;;;Erreur dans analyze_pairs_opportunity: name 'RATIO_WINDOW' is not defined;;
2026-01-12 09:46:50;ERROR;;;;;;;Erreur dans analyze_pairs_opportunity: Numba needs NumPy 2.2 or less. Got NumPy 2.3.;;
2026-01-12 09:47:04;ERROR;;;;;;;Erreur dans analyze_pairs_opportunity: name 'RATIO_WINDOW' is not defined;;
2026-01-12 09:47:05;ERROR;;;;;;;Erreur dans analyze_pairs_opportunity: name 'RATIO_WINDOW' is not defined;;
2026-01-12 09:47:05;ERROR;;;;;;;Erreur dans analyze_pairs_opportunity: name 'RATIO_WINDOW' is not defined;;
2026-01-12 09:47:05;ERROR;;;;;;;Erreur dans analyze_pairs_opportunity: Numba needs NumPy 2.2 or less. Got NumPy 2.3.;;
2026-01-12 09:47:20;ERROR;;;;;;;Erreur dans analyze_pairs_opportunity: name 'RATIO_WINDOW' is not defined;;
2026-01-12 09:47:20;ERROR;;;;;;;Erreur dans analyze_pairs_opportunity: name 'RATIO_WINDOW' is not defined;;
2026-01-12 09:47:20;ERROR;;;;;;;Erreur dans analyze_pairs_opportunity: name 'RATIO_WINDOW' is not defined;;
2026-01-12 09:47:20;ERROR;;;;;;;Erreur dans analyze_pairs_opportunity: Numba needs NumPy 2.2 or less. Got NumPy 2.3.;;
2026-01-12 09:47:35;ERROR;;;;;;;Erreur dans analyze_pairs_opportunity: name 'RATIO_WINDOW' is not defined;;
2026-01-12 09:47:35;ERROR;;;;;;;Erreur dans analyze_pairs_opportunity: name 'RATIO_WINDOW' is not defined;;
2026-01-12 09:47:35;ERROR;;;;;;;Erreur dans analyze_pairs_opportunity: name 'RATIO_WINDOW' is not defined;;
2026-01-12 09:47:35;ERROR;;;;;;;Erreur dans analyze_pairs_opportunity: Numba needs NumPy 2.2 or less. Got NumPy 2.3.;;
2026-01-12 09:47:50;ERROR;;;;;;;Erreur dans analyze_pairs_opportunity: name 'RATIO_WINDOW' is not defined;;
2026-01-12 09:47:50;ERROR;;;;;;;Erreur dans analyze_pairs_opportunity: name 'RATIO_WINDOW' is not defined;;
2026-01-12 09:47:50;ERROR;;;;;;;Erreur dans analyze_pairs_opportunity: name 'RATIO_WINDOW' is not defined;;
2026-01-12 09:47:51;ERROR;;;;;;;Erreur dans analyze_pairs_opportunity: Numba needs NumPy 2.2 or less. Got NumPy 2.3.;;
